"Day","Hr","Temp","KWH"
2014-12-16,5,37.04,"Above_Normal"
2014-12-16,6,37.94,"Above_Normal"
2014-12-16,7,39.02,"Above_Normal"
2014-12-16,8,39.02,"Above_Normal"
2014-12-16,9,39.92,"Above_Normal"
2014-12-16,10,41,"Above_Normal"
2014-12-16,11,39.92,"Above_Normal"
2014-12-16,12,39.92,"Above_Normal"
2014-12-16,13,39.92,"Above_Normal"
2014-12-16,14,39.92,"Above_Normal"
2014-12-16,15,39.92,"Above_Normal"
2014-12-16,16,41,"Above_Normal"
2014-12-16,17,41.54,"Above_Normal"
2014-12-16,18,42.08,"Above_Normal"
2014-12-16,19,42.98,"Above_Normal"
2014-12-16,20,43.43,"Above_Normal"
2014-12-16,21,44.06,"Above_Normal"
2014-12-16,22,44.06,"Above_Normal"
2014-12-16,23,42.98,"Above_Normal"
2014-12-17,0,43.46,"Above_Normal"
2014-12-17,1,44.06,"Above_Normal"
2014-12-17,2,44.96,"Above_Normal"
2014-12-17,3,46.04,"Above_Normal"
2014-12-17,4,46.94,"Above_Normal"
2014-12-17,5,44.96,"Above_Normal"
2014-12-17,6,44.42,"Above_Normal"
2014-12-17,7,42.98,"Above_Normal"
2014-12-17,8,42.98,"Above_Normal"
2014-12-17,9,42.89,"Above_Normal"
2014-12-17,10,42.44,"Above_Normal"
2014-12-17,11,42.86,"Above_Normal"
2014-12-17,12,44.78,"Above_Normal"
2014-12-17,13,46.04,"Above_Normal"
2014-12-17,14,46.67,"Above_Normal"
2014-12-17,15,47.21,"Above_Normal"
2014-12-17,16,48.02,"Above_Normal"
2014-12-17,17,46.94,"Above_Normal"
2014-12-17,18,45.86,"Above_Normal"
2014-12-17,19,44.96,"Above_Normal"
2014-12-17,20,44.06,"Above_Normal"
2014-12-17,21,42.98,"Above_Normal"
2014-12-17,22,42.08,"Above_Normal"
2014-12-17,23,41,"Above_Normal"
2014-12-18,0,39.92,"Above_Normal"
2014-12-18,1,39.92,"Above_Normal"
2014-12-18,2,39.92,"Above_Normal"
2014-12-18,3,39.92,"Above_Normal"
2014-12-18,4,39.02,"Above_Normal"
2014-12-18,5,37.04,"Above_Normal"
2014-12-18,6,37.04,"Above_Normal"
2014-12-18,7,36.32,"Above_Normal"
2014-12-18,8,37.04,"Above_Normal"
2014-12-18,9,39.92,"Above_Normal"
2014-12-18,10,41,"Above_Normal"
2014-12-18,11,42.98,"Above_Normal"
2014-12-18,12,42.98,"Above_Normal"
2014-12-18,13,42.98,"Above_Normal"
2014-12-18,14,42.98,"Above_Normal"
2014-12-18,15,42.08,"Above_Normal"
2014-12-18,16,41,"Above_Normal"
2014-12-18,17,41,"Above_Normal"
2014-12-18,18,39.92,"Above_Normal"
2014-12-18,19,39.02,"Above_Normal"
2014-12-18,20,39.02,"Above_Normal"
2014-12-18,21,39.02,"Above_Normal"
2014-12-18,22,37.94,"Above_Normal"
2014-12-18,23,37.04,"Above_Normal"
2014-12-19,0,37.04,"Above_Normal"
2014-12-19,1,37.04,"Above_Normal"
2014-12-19,2,35.96,"Above_Normal"
2014-12-19,3,35.06,"Above_Normal"
2014-12-19,4,35.06,"Above_Normal"
2014-12-19,5,33.98,"Above_Normal"
2014-12-19,6,33.98,"Above_Normal"
2014-12-19,7,33.98,"Above_Normal"
2014-12-19,8,35.06,"Above_Normal"
2014-12-19,9,33.98,"Above_Normal"
2014-12-19,10,33.98,"Above_Normal"
2014-12-19,11,35.06,"Above_Normal"
2014-12-19,12,35.06,"Above_Normal"
2014-12-19,13,35.06,"Above_Normal"
2014-12-19,14,35.06,"Above_Normal"
2014-12-19,15,35.06,"Above_Normal"
2014-12-19,16,33.08,"Above_Normal"
2014-12-19,17,32,"Above_Normal"
2014-12-19,18,30.92,"Above_Normal"
2014-12-19,19,30.92,"Above_Normal"
2014-12-19,20,30.02,"Above_Normal"
2014-12-19,21,30.02,"Above_Normal"
2014-12-19,22,28.94,"Above_Normal"
2014-12-19,23,28.94,"Above_Normal"
2014-12-20,0,28.04,"Above_Normal"
2014-12-20,1,28.04,"Above_Normal"
2014-12-20,2,28.04,"Above_Normal"
2014-12-20,3,28.04,"Above_Normal"
2014-12-20,4,28.04,"Above_Normal"
2014-12-20,5,28.04,"Above_Normal"
2014-12-20,6,26.96,"Above_Normal"
2014-12-20,7,28.04,"Above_Normal"
2014-12-20,8,30.02,"Above_Normal"
2014-12-20,9,30.11,"Above_Normal"
2014-12-20,10,30.92,"Above_Normal"
2014-12-20,11,33.08,"Above_Normal"
2014-12-20,12,33.08,"Above_Normal"
2014-12-20,13,33.98,"Above_Normal"
2014-12-20,14,33.8,"Above_Normal"
2014-12-20,15,33.98,"Above_Normal"
2014-12-20,16,33.08,"Above_Normal"
2014-12-20,17,33.44,"Above_Normal"
2014-12-20,18,33.89,"Above_Normal"
2014-12-20,19,35.06,"Above_Normal"
2014-12-20,20,35.06,"Above_Normal"
2014-12-20,21,35.06,"Above_Normal"
2014-12-20,22,35.06,"Above_Normal"
2014-12-20,23,35.06,"Above_Normal"
2014-12-21,0,35.06,"Above_Normal"
2014-12-21,1,35.33,"Above_Normal"
2014-12-21,2,35.06,"Above_Normal"
2014-12-21,3,35.06,"Above_Normal"
2014-12-21,4,32,"Above_Normal"
2014-12-21,5,32,"Above_Normal"
2014-12-21,6,30.92,"Above_Normal"
2014-12-21,7,30.02,"Above_Normal"
2014-12-21,8,30.02,"Above_Normal"
2014-12-21,9,30.11,"Above_Normal"
2014-12-21,10,30.92,"Above_Normal"
2014-12-21,11,32,"Above_Normal"
2014-12-21,12,32,"Above_Normal"
2014-12-21,13,33.08,"Above_Normal"
2014-12-21,14,33.08,"Above_Normal"
2014-12-21,15,33.8,"Above_Normal"
2014-12-21,16,33.98,"Above_Normal"
2014-12-21,17,33.89,"Above_Normal"
2014-12-21,18,33.98,"Above_Normal"
2014-12-21,19,33.98,"Above_Normal"
2014-12-21,20,33.98,"Above_Normal"
2014-12-21,21,33.98,"Above_Normal"
2014-12-21,22,33.98,"Above_Normal"
2014-12-21,23,33.98,"Above_Normal"
2014-12-22,0,33.08,"Above_Normal"
2014-12-22,1,33.08,"Above_Normal"
2014-12-22,2,33.08,"Above_Normal"
2014-12-22,3,33.08,"Above_Normal"
2014-12-22,4,33.08,"Above_Normal"
2014-12-22,5,33.08,"Above_Normal"
2014-12-22,6,33.56,"Above_Normal"
2014-12-22,7,33.98,"Above_Normal"
2014-12-22,8,35.06,"Above_Normal"
2014-12-22,9,37.94,"Above_Normal"
2014-12-22,10,39.92,"Above_Normal"
2014-12-22,11,42.08,"Above_Normal"
2014-12-22,12,44.06,"Above_Normal"
2014-12-22,13,43.46,"Above_Normal"
2014-12-22,14,42.44,"Above_Normal"
2014-12-22,15,41.9,"Above_Normal"
2014-12-22,16,41,"Above_Normal"
2014-12-22,17,41,"Above_Normal"
2014-12-22,18,40.1,"Above_Normal"
2014-12-22,19,42.56,"Above_Normal"
2014-12-22,20,41,"Above_Normal"
2014-12-22,21,42.08,"Above_Normal"
2014-12-22,22,42.08,"Above_Normal"
2014-12-22,23,42.08,"Above_Normal"
2014-12-23,0,42.89,"Above_Normal"
2014-12-23,1,42.89,"Above_Normal"
2014-12-23,2,42.86,"Above_Normal"
2014-12-23,3,42.86,"Above_Normal"
2014-12-23,4,43.43,"Above_Normal"
2014-12-23,5,42.98,"Above_Normal"
2014-12-23,6,42.845,"Above_Normal"
2014-12-23,7,44.06,"Above_Normal"
2014-12-23,8,44.06,"Above_Normal"
2014-12-23,9,44.96,"Above_Normal"
2014-12-23,10,44.06,"Above_Normal"
2014-12-23,11,44.96,"Above_Normal"
2014-12-23,12,44.96,"Above_Normal"
2014-12-23,13,44.72,"Above_Normal"
2014-12-23,14,44.96,"Above_Normal"
2014-12-23,15,44.96,"Above_Normal"
2014-12-23,16,45.68,"Above_Normal"
2014-12-23,17,46.04,"Above_Normal"
2014-12-23,18,46.04,"Above_Normal"
2014-12-23,19,46.04,"Above_Normal"
2014-12-23,20,46.04,"Above_Normal"
2014-12-23,21,42.98,"Above_Normal"
2014-12-23,22,42.98,"Above_Normal"
2014-12-23,23,42.08,"Above_Normal"
2014-12-24,0,42.08,"Above_Normal"
